Time [s],Value,Parity Error,Framing Error
2.96892625s,0x00,,
2.9701645s,0x00,,
2.97140275s,0x00,,
2.972641s,0x00,,
2.9738795s,0x00,,
2.97511775s,0x00,,
2.976356s,0x00,,
2.97759425s,0x00,,
2.9788325s,0x00,,
2.980071s,0x00,,
2.98130925s,0x00,,
2.9825475s,0x00,,
2.98378575s,0xAC,,
3.124436s,0xFE,,
3.12567425s,0x55,,
3.1269125s,0xEF,,
3.128151s,0x0B,,
3.12938925s,0x77,,
3.1306275s,0x00,,
3.13186575s,0x00,,
3.133104s,0x00,,
3.1343425s,0x00,,
3.13558075s,0x00,,
3.136819s,0x00,,
3.13805725s,0x00,,
3.1392955s,0x00,,
3.140534s,0x00,,
3.14177225s,0x82,,
3.323183s,0xFE,,
3.32442125s,0x55,,
3.32565975s,0xEF,,
3.326898s,0x2F,,
3.32813625s,0x7C,,
3.3293745s,0x00,,
3.33061275s,0x00,,
3.33185125s,0x00,,
3.3330895s,0x00,,
3.33432775s,0x00,,
3.335566s,0x00,,
3.33680425s,0x00,,
3.33804275s,0x00,,
3.339281s,0x00,,
3.34051925s,0x00,,
3.3417575s,0x00,,
3.342996s,0x00,,
3.34423425s,0x00,,
3.3454725s,0x00,,
3.34671075s,0x00,,
3.347949s,0x00,,
3.34918725s,0x00,,
3.35042575s,0x00,,
3.351664s,0x00,,
3.35290225s,0x00,,
3.3541405s,0x00,,
3.35537875s,0x00,,
3.35661725s,0x00,,
3.3578555s,0x00,,
3.35909375s,0x00,,
3.360332s,0x01,,
3.36157025s,0x00,,
3.36280875s,0x00,,
3.364047s,0x00,,
3.36528525s,0x00,,
3.3665235s,0x00,,
3.36776175s,0x00,,
3.36900025s,0x00,,
3.3702385s,0x00,,
3.37147675s,0x00,,
3.372715s,0x00,,
3.37395325s,0x00,,
3.37519175s,0x00,,
3.37643s,0x00,,
3.37766825s,0x00,,
3.3789065s,0x00,,
3.38014475s,0x00,,
3.38138325s,0x00,,
3.3826215s,0x00,,
3.38385975s,0x00,,
3.385098s,0xAC,,
3.53008225s,0xFE,,
3.5313205s,0x55,,
3.53255875s,0xEF,,
3.53379725s,0x2C,,
3.5350355s,0x7D,,
3.53627375s,0x00,,
3.537512s,0x00,,
3.53875025s,0x00,,
3.53998875s,0x00,,
3.541227s,0x00,,
3.54246525s,0x00,,
3.5437035s,0x00,,
3.54494175s,0x00,,
3.54618025s,0x00,,
3.5474185s,0x00,,
3.54865675s,0x00,,
3.549895s,0x00,,
3.55113325s,0x00,,
3.55237175s,0x00,,
3.55361s,0x00,,
3.55484825s,0x18,,
3.5560865s,0x01,,
3.55732475s,0x00,,
3.55856325s,0x00,,
3.5598015s,0x00,,
3.56103975s,0x00,,
3.562278s,0x00,,
3.56351625s,0x00,,
3.56475475s,0x00,,
3.565993s,0x05,,
3.56723125s,0x00,,
3.5684695s,0x08,,
3.56970775s,0x3B,,
3.57094625s,0x11,,
3.5721845s,0x00,,
3.57342275s,0x04,,
3.574661s,0x08,,
3.57589925s,0x01,,
3.57713775s,0x2C,,
3.578376s,0x32,,
3.57961425s,0x00,,
3.5808525s,0x00,,
3.58209075s,0x20,,
3.58332925s,0x06,,
3.5845675s,0x0A,,
3.58580575s,0x32,,
3.587044s,0x00,,
3.58828225s,0xE8,,
3.723257s,0xFE,,
3.72449525s,0x55,,
3.7257335s,0xEF,,
3.726972s,0x2F,,
3.72821025s,0x7C,,
3.7294485s,0x00,,
3.73068675s,0x00,,
3.731925s,0x00,,
3.7331635s,0x00,,
3.73440175s,0x00,,
3.73564s,0x00,,
3.73687825s,0x00,,
3.7381165s,0x00,,
3.739355s,0x00,,
3.74059325s,0x00,,
3.7418315s,0x00,,
3.74306975s,0x00,,
3.744308s,0x00,,
3.7455465s,0x00,,
3.74678475s,0x00,,
3.748023s,0x00,,
3.74926125s,0x00,,
3.7504995s,0x00,,
3.751738s,0x00,,
3.75297625s,0x00,,
3.7542145s,0x00,,
3.75545275s,0x00,,
3.756691s,0x00,,
3.7579295s,0x00,,
3.75916775s,0x00,,
3.760406s,0x01,,
3.76164425s,0x00,,
3.7628825s,0x00,,
3.764121s,0x00,,
3.76535925s,0x00,,
3.7665975s,0x00,,
3.76783575s,0x00,,
3.769074s,0x00,,
3.7703125s,0x00,,
3.77155075s,0x00,,
3.772789s,0x00,,
3.77402725s,0x00,,
3.7752655s,0x00,,
3.776504s,0x00,,
3.77774225s,0x00,,
3.7789805s,0x00,,
3.78021875s,0x00,,
3.781457s,0x00,,
3.78269525s,0x00,,
3.78393375s,0x00,,
3.785172s,0xAC,,
3.93098175s,0xFE,,
3.93222s,0x55,,
3.93345825s,0xEF,,
3.93469675s,0x13,,
3.935935s,0x7A,,
3.93717325s,0x01,,
3.9384115s,0x00,,
3.93964975s,0x00,,
3.94088825s,0x00,,
3.9421265s,0x00,,
3.94336475s,0x00,,
3.944603s,0x00,,
3.94584125s,0x00,,
3.94707975s,0x00,,
3.948318s,0x00,,
3.94955625s,0x00,,
3.9507945s,0x00,,
3.95203275s,0x00,,
3.95327125s,0x00,,
3.9545095s,0x00,,
3.95574775s,0x00,,
3.956986s,0x00,,
3.95822425s,0x8E,,
4.12776825s,0xFE,,
4.1290065s,0x55,,
4.13024475s,0xEF,,
4.131483s,0x2F,,
4.1327215s,0x7C,,
4.13395975s,0x00,,
4.135198s,0x00,,
4.13643625s,0x00,,
4.1376745s,0x00,,
4.138913s,0x00,,
4.14015125s,0x00,,
4.1413895s,0x00,,
4.14262775s,0x00,,
4.143866s,0x00,,
4.1451045s,0x00,,
4.14634275s,0x00,,
4.147581s,0x00,,
4.14881925s,0x00,,
4.1500575s,0x00,,
4.15129575s,0x00,,
4.15253425s,0x00,,
4.1537725s,0x00,,
4.15501075s,0x00,,
4.156249s,0x00,,
4.15748725s,0x00,,
4.15872575s,0x00,,
4.159964s,0x00,,
4.16120225s,0x00,,
4.1624405s,0x00,,
4.16367875s,0x00,,
4.16491725s,0x01,,
4.1661555s,0x00,,
4.16739375s,0x00,,
4.168632s,0x00,,
4.16987025s,0x00,,
4.17110875s,0x00,,
4.172347s,0x00,,
4.17358525s,0x00,,
4.1748235s,0x00,,
4.17606175s,0x00,,
4.17730025s,0x00,,
4.1785385s,0x00,,
4.17977675s,0x00,,
4.181015s,0x00,,
4.18225325s,0x00,,
4.18349175s,0x00,,
4.18473s,0x00,,
4.18596825s,0x00,,
4.1872065s,0x00,,
4.18844475s,0x00,,
4.18968325s,0xAC,,
4.3277535s,0xFE,,
4.32899175s,0x55,,
4.33023025s,0xEF,,
4.3314685s,0x0D,,
4.33270675s,0x7B,,
4.333945s,0x00,,
4.33518325s,0x00,,
4.33642175s,0x00,,
4.33766s,0x00,,
4.33889825s,0x00,,
4.3401365s,0x00,,
4.34137475s,0x00,,
4.34261325s,0x00,,
4.3438515s,0x00,,
4.34508975s,0x00,,
4.346328s,0x00,,
4.34756625s,0x88,,
4.52711975s,0xFE,,
4.528358s,0x55,,
4.52959625s,0xEF,,
4.53083475s,0x2F,,
4.532073s,0x7C,,
4.53331125s,0x00,,
4.5345495s,0x00,,
4.535788s,0x00,,
4.53702625s,0x00,,
4.5382645s,0x00,,
4.53950275s,0x00,,
4.540741s,0x00,,
4.54197925s,0x00,,
4.54321775s,0x00,,
4.544456s,0x00,,
4.54569425s,0x00,,
4.5469325s,0x00,,
4.54817075s,0x00,,
4.54940925s,0x00,,
4.5506475s,0x00,,
4.55188575s,0x00,,
4.553124s,0x00,,
4.55436225s,0x00,,
4.55560075s,0x00,,
4.556839s,0x00,,
4.55807725s,0x00,,
4.5593155s,0x00,,
4.56055375s,0x00,,
4.56179225s,0x00,,
4.5630305s,0x00,,
4.56426875s,0x01,,
4.565507s,0x00,,
4.56674525s,0x00,,
4.56798375s,0x00,,
4.569222s,0x00,,
4.57046025s,0x00,,
4.5716985s,0x00,,
4.57293675s,0x00,,
4.57417525s,0x00,,
4.5754135s,0x00,,
4.57665175s,0x00,,
4.57789s,0x00,,
4.57912825s,0x00,,
4.58036675s,0x00,,
4.581605s,0x00,,
4.58284325s,0x00,,
4.5840815s,0x00,,
4.58531975s,0x00,,
4.58655825s,0x00,,
4.5877965s,0x00,,
4.58903475s,0xAC,,
4.73824975s,0xFE,,
4.739488s,0x55,,
4.7407265s,0xEF,,
4.74196475s,0x03,,
4.743203s,0x76,,
4.74444125s,0x00,,
4.7456795s,0x79,,
4.92832875s,0xFE,,
4.929567s,0x55,,
4.9308055s,0xEF,,
4.93204375s,0x2F,,
4.933282s,0x7C,,
4.93452025s,0x00,,
4.9357585s,0x00,,
4.936997s,0x00,,
4.93823525s,0x00,,
4.9394735s,0x00,,
4.94071175s,0x00,,
4.94195s,0x00,,
4.9431885s,0x00,,
4.94442675s,0x00,,
4.945665s,0x00,,
4.94690325s,0x00,,
4.9481415s,0x00,,
4.94938s,0x00,,
4.95061825s,0x00,,
4.9518565s,0x00,,
4.95309475s,0x00,,
4.954333s,0x00,,
4.9555715s,0x00,,
4.95680975s,0x00,,
4.958048s,0x00,,
4.95928625s,0x00,,
4.9605245s,0x00,,
4.961763s,0x00,,
4.96300125s,0x00,,
4.9642395s,0x00,,
4.96547775s,0x01,,
4.966716s,0x00,,
4.9679545s,0x00,,
4.96919275s,0x00,,
4.970431s,0x00,,
4.97166925s,0x00,,
4.9729075s,0x00,,
4.97414575s,0x00,,
4.97538425s,0x00,,
4.9766225s,0x00,,
4.97786075s,0x00,,
4.979099s,0x00,,
4.9803375s,0x00,,
4.98157575s,0x00,,
4.982814s,0x00,,
4.98405225s,0x00,,
4.9852905s,0x00,,
4.98652875s,0x00,,
4.98776725s,0x00,,
4.9890055s,0x00,,
4.99024375s,0xAC,,
5.12883s,0xFE,,
5.1300685s,0x55,,
5.13130675s,0xEF,,
5.132545s,0x0B,,
5.13378325s,0x77,,
5.1350215s,0x00,,
5.13626s,0x00,,
5.13749825s,0x00,,
5.1387365s,0x00,,
5.13997475s,0x00,,
5.141213s,0x00,,
5.1424515s,0x00,,
5.14368975s,0x00,,
5.144928s,0x00,,
5.14616625s,0x82,,
5.336142s,0xFE,,
5.3373805s,0x55,,
5.33861875s,0xEF,,
5.339857s,0x2F,,
5.34109525s,0x7C,,
5.3423335s,0x00,,
5.34357175s,0x00,,
5.34481025s,0x00,,
5.3460485s,0x00,,
5.34728675s,0x00,,
5.348525s,0x00,,
5.34976325s,0x00,,
5.35100175s,0x00,,
5.35224s,0x00,,
5.35347825s,0x00,,
5.3547165s,0x00,,
5.35595475s,0x00,,
5.35719325s,0x00,,
5.3584315s,0x00,,
5.35966975s,0x00,,
5.360908s,0x00,,
5.36214625s,0x00,,
5.36338475s,0x00,,
5.364623s,0x00,,
5.36586125s,0x00,,
5.3670995s,0x00,,
5.36833775s,0x00,,
5.36957625s,0x00,,
5.3708145s,0x00,,
5.37205275s,0x00,,
5.373291s,0x01,,
5.37452925s,0x00,,
5.37576775s,0x00,,
5.377006s,0x00,,
5.37824425s,0x00,,
5.3794825s,0x00,,
5.38072075s,0x00,,
5.38195925s,0x00,,
