Time [s],Value,Parity Error,Framing Error
12.937717s,0x7F,,
13.13141875s,0xEF,,
13.13246075s,0x55,,
13.13350275s,0xFE,,
13.1345445s,0x04,,
13.1355865s,0x77,,
13.1366285s,0x00,,
13.1376705s,0x00,,
13.1387125s,0x7B,,
13.33192575s,0xEF,,
13.33296775s,0x55,,
13.3340095s,0xFE,,
13.33505175s,0x03,,
13.3360935s,0x7C,,
13.3371355s,0x00,,
13.3381775s,0x7F,,
13.53251075s,0xEF,,
13.53355275s,0x55,,
13.53459475s,0xFE,,
13.53563675s,0x03,,
13.53667875s,0x7D,,
13.53772075s,0x00,,
13.53876275s,0x80,,
13.732803s,0xEF,,
13.733845s,0x55,,
13.73488675s,0xFE,,
13.73592875s,0x03,,
13.73697075s,0x7C,,
13.73801275s,0x00,,
13.73905475s,0x7F,,
13.93267825s,0xEF,,
13.93372025s,0x55,,
13.93476225s,0xFE,,
13.93580425s,0x03,,
13.936846s,0x7A,,
13.937888s,0x01,,
13.93893s,0x7E,,
14.13403175s,0xEF,,
14.13507375s,0x55,,
14.13611575s,0xFE,,
14.13715775s,0x03,,
14.13819975s,0x7C,,
14.13924175s,0x00,,
14.14028375s,0x7F,,
14.335444s,0xEF,,
14.336486s,0x55,,
14.337528s,0xFE,,
14.33857s,0x03,,
14.339612s,0x7B,,
14.34065375s,0x00,,
14.34169575s,0x7E,,
14.53630275s,0xEF,,
14.5373445s,0x55,,
14.5383865s,0xFE,,
14.5394285s,0x03,,
14.5404705s,0x7C,,
14.5415125s,0x00,,
14.5425545s,0x7F,,
14.736647s,0xEF,,
14.73768875s,0x55,,
14.73873075s,0xFE,,
14.73977275s,0x04,,
14.74081475s,0x77,,
14.74185675s,0x00,,
14.7428985s,0x00,,
14.7439405s,0x7B,,
14.9375445s,0xEF,,
14.9385865s,0x55,,
14.9396285s,0xFE,,
14.9406705s,0x03,,
14.9417125s,0x7C,,
14.9427545s,0x00,,
14.9437965s,0x7F,,
15.1385985s,0xEF,,
15.1396405s,0x55,,
15.1406825s,0xFE,,
15.1417245s,0x03,,
15.1427665s,0x7D,,
15.1438085s,0x00,,
15.1448505s,0x80,,
15.33885175s,0xEF,,
15.3398935s,0x55,,
15.3409355s,0xFE,,
15.3419775s,0x03,,
15.3430195s,0x7C,,
15.3440615s,0x00,,
15.34510325s,0x7F,,
15.539795s,0xEF,,
15.540837s,0x55,,
15.54187875s,0xFE,,
15.54292075s,0x03,,
15.54396275s,0x7A,,
15.54500475s,0x01,,
15.54604675s,0x7E,,
15.74049725s,0xEF,,
15.74153925s,0x55,,
15.74258125s,0xFE,,
15.74362325s,0x03,,
15.74466525s,0x7C,,
15.745707s,0x00,,
15.746749s,0x7F,,
15.9408025s,0xEF,,
15.94184425s,0x55,,
15.94288625s,0xFE,,
15.94392825s,0x03,,
15.94497025s,0x7B,,
15.94601225s,0x00,,
15.94705425s,0x7E,,
16.1418305s,0xEF,,
16.14287225s,0x55,,
16.14391425s,0xFE,,
16.14495625s,0x03,,
16.14599825s,0x7C,,
16.14704025s,0x00,,
16.148082s,0x7F,,
16.3423765s,0xEF,,
16.3434185s,0x55,,
16.34446025s,0xFE,,
16.34550225s,0x04,,
16.34654425s,0x77,,
16.34758625s,0x00,,
16.34862825s,0x00,,
16.34967025s,0x7B,,
16.54302025s,0xEF,,
16.54406225s,0x55,,
16.545104s,0xFE,,
16.54614625s,0x03,,
16.547188s,0x7C,,
16.54823s,0x00,,
16.549272s,0x7F,,
16.7434945s,0xEF,,
16.7445365s,0x55,,
16.7455785s,0xFE,,
16.7466205s,0x03,,
16.7476625s,0x7D,,
16.7487045s,0x00,,
16.7497465s,0x80,,
16.94380625s,0xEF,,
16.94484825s,0x55,,
16.94589025s,0xFE,,
16.94693225s,0x03,,
16.947974s,0x7C,,
16.949016s,0x00,,
16.950058s,0x7F,,
17.14361s,0xEF,,
17.144652s,0x55,,
17.14569375s,0xFE,,
17.14673575s,0x03,,
17.14777775s,0x7A,,
17.14881975s,0x01,,
17.14986175s,0x7E,,
17.34352425s,0xEF,,
17.34456625s,0x55,,
17.34560825s,0xFE,,
17.34665025s,0x03,,
17.347692s,0x7C,,
17.348734s,0x00,,
17.349776s,0x7F,,
17.54345175s,0xEF,,
17.5444935s,0x55,,
17.5455355s,0xFE,,
17.5465775s,0x03,,
17.5476195s,0x7B,,
17.5486615s,0x00,,
17.5497035s,0x7E,,
17.7435485s,0xEF,,
17.74459025s,0x55,,
17.74563225s,0xFE,,
17.74667425s,0x03,,
17.74771625s,0x7C,,
17.74875825s,0x00,,
17.74980025s,0x7F,,
17.9435995s,0xEF,,
17.9446415s,0x55,,
17.9456835s,0xFE,,
17.94672525s,0x04,,
17.94776725s,0x77,,
17.94880925s,0x00,,
17.94985125s,0x00,,
17.95089325s,0x7B,,
18.14427575s,0xEF,,
18.14531775s,0x55,,
18.14635975s,0xFE,,
18.14740175s,0x03,,
18.14844375s,0x7C,,
18.14948575s,0x00,,
18.1505275s,0x7F,,
18.34547325s,0xEF,,
18.346515s,0x55,,
18.347557s,0xFE,,
18.348599s,0x03,,
18.349641s,0x7D,,
18.350683s,0x00,,
18.351725s,0x80,,
18.54655325s,0xEF,,
18.54759525s,0x55,,
18.548637s,0xFE,,
18.549679s,0x03,,
18.550721s,0x7C,,
18.551763s,0x00,,
18.552805s,0x7F,,
18.74702775s,0xEF,,
18.7480695s,0x55,,
18.7491115s,0xFE,,
18.7501535s,0x03,,
